"date","store","seller","product","unit_price","quantity","client_age","client_gender","payment_mode","total_amount"
2024-07-31,"Nice Promenade","Seller_19","Smartphone",762.73,1,36,"F","Card",762.73
2024-07-02,"Paris Centre","Seller_20","Laptop",191.61,1,19,NA,"",191.61
2024-07-10,"Paris Centre","Seller_5","Laptop",455.97,1,28,"F","Card",455.97
2024-11-30,"Toulouse Capitole","Seller_19","Smartphone",583.94,2,35,"M","Card",1167.88
2023-09-12,"Paris Centre","Seller_3","Tablet",982.68,1,16,"F","Card",982.68
2024-09-12,"Lyon Part-Dieu","Seller_24","Earbuds",703.6,2,29,"M","Card",1407.2
2024-02-20,"Toulouse Capitole","Seller_22","Tablet",777.84,2,59,NA,"Card",1555.68
2023-04-15,"Nice Promenade","Seller_11","Laptop",366.73,2,16,"M","Card",733.46
2024-09-25,"Lyon Part-Dieu","Seller_19","Tablet",804.28,1,30,"F","Card",804.28
2023-01-29,"Marseille Vieux-Port","Seller_16","Tablet",290.91,1,30,NA,"Card",290.91
2023-01-11,"Toulouse Capitole","Seller_6","Laptop",372.67,1,46,"M","Card",372.67
2023-03-03,"Lyon Part-Dieu","Seller_13","Tablet",673.61,1,47,NA,"Cash",673.61
2023-09-09,"Marseille Vieux-Port","Seller_12","Smartphone",99.13,1,31,"M","Card",99.13
2024-02-02,"Marseille Vieux-Port","Seller_8","Smartphone",968.96,1,30,"M","Card",968.96
2023-01-26,"Marseille Vieux-Port","Seller_25","Earbuds",1187.89,2,49,"M","Card",2375.78
2023-06-21,"Marseille Vieux-Port","Seller_16","Laptop",1341.64,3,34,"M","Card",4024.92
2024-07-15,"Paris Centre","Seller_2","Laptop",1276.28,1,31,"F","Card",1276.28
2024-02-14,"Toulouse Capitole","Seller_23","Smartwatch",601.86,1,38,"F","Card",601.86
2023-02-01,"Toulouse Capitole","Seller_10","Laptop",841.01,1,41,"F","Card",841.01
2024-12-25,"Lyon Part-Dieu","Seller_12","Earbuds",734,1,34,"F","Card",734
2024-01-20,"Nice Promenade","Seller_22","Earbuds",1270.51,1,35,NA,"Card",1270.51
